Density,Suppressed, Gen Suppressed, Chased, Gen Chased, Avg GC during Chase, Var in GC during Chase, Avg Popsize during Chase, Var in Popsize during Chase, Duration of Chase, Drive Lost, Gen Drive Lost, Equilibrium State, Gen Equilibrium State, Simulation Stopped after 1000, Rate One Drive at End
120000,1,31,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
120000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,80,1,23,0.210649165,0.016413049,1925.901961,9844998.716,56,0,10000,0,10000,0,10000
130000,1,242,1,28,0.112281497,0.006981091,1587.197115,3361980.543,212,0,10000,0,10000,0,10000
130000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,31,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,126,1,24,0.151525438,0.025634097,2545.34375,9430588.934,100,0,10000,0,10000,0,10000
130000,1,123,1,28,0.13892468,0.007104593,920.2,952112.0933,94,0,10000,0,10000,0,10000
130000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,0,10000,1,23,0.097608287,0.006333487,3605.460714,21005153.91,284,1,307,0,10000,0,10000
130000,1,31,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,77,1,24,0.194227945,0.02056016,7190.085106,120315612.1,51,0,10000,0,10000,0,10000
130000,1,60,1,26,0.098347907,0.003834385,8858.965517,45868617.9,33,0,10000,0,10000,0,10000
130000,1,28,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,111,1,27,0.194569034,0.024513538,902.9113924,2307262.536,83,0,10000,0,10000,0,10000
130000,1,40,1,22,0.1172888,0.004317899,115.4615385,3964.248521,17,0,10000,0,10000,0,10000
130000,1,74,1,25,0.111827193,0.004190834,993.0952381,584936.4671,46,0,10000,0,10000,0,10000
130000,1,29,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
130000,1,154,1,22,0.092000776,0.00376718,5206.362205,103494716.2,131,0,10000,0,10000,0,10000
130000,1,122,1,22,0.131299142,0.009793357,1431.684211,4614631.627,99,0,10000,0,10000,0,10000
140000,1,30,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,32,0,10000,10000,10000,1000000,1000000,10000,0,10000,0,10000,0,10000
140000,1,123,1,23,0.136259448,0.01254986,2554.115789,25224407.41,99,0,10000,0,10000,0,10000
140000,1,467,1,23,0.113187935,0.005728732,4682.703872,67169392.99,443,0,10000,0,10000,0,10000
